,AphiaID
Callogorgia americana,177832
Chrysogorgiidae,125273
Titanideum frauenfeldii,291226
Paracis miyajimai,290616
Keroeides mosaica,517724
Nicella guadalupensis,286171
Dendrobrachia fallax,289791
Leptogorgia euryale,286234
Narella hawaiinensis,409562
Muricella ramosa,290404
Australogorgia aldersladei,409553
Anthothela tropicalis,286581
Candidella imbricata,125406
Corallium medea,177725
Riisea paniculata,290997
Thesea nutans,286438
Bebryce cinerea,286340
Diodogorgia nodulifera,288872
Dendrobrachia multispina,289792
Swiftia casta,177815
Candidella helminthophora,286506
Anthothela grandiflora,125414
Ellisella elongata,520722
Placogorgia graciosa,125393
Chrysogorgia desbonni,286112
Acanthoprimnoa goesi,289317
Plumarella circumoperculum,574228
Ellisella barbadensis,520719
Narella macrocalyx,409566
Plumarella laxiramosa,287670
Iridogorgia splendens,286155
Muricea fruticosa,287562
Calyptrophora spinosa,287657
Plumarella dichotoma,287665
Melithaea bicolor,746484
Lytreia plana,290323
Nicella toeplitzae,286180
Primnoella polita,286548
Chrysogorgia artospira,883735
Placogorgia mirabilis,286401
Thesea rugosa,286445
Narella versluysi,125409
Bebryce grandis,286342
Chrysogorgia squamata,286147
Thesea gracilis,286432
Narella regularis,125408
Metallogorgia splendens,286157
Narella alvinae,286509
Muricea formosa,287561
Paranarella watlingi,290671
Narella laxa,125407
Pacifigorgia pulchra,290583
Iridogorgia fontinalis,286153
Eunicella albatrossi,286182
Nicella goreaui,286169
Chrysogorgia tricaulis,883737
Heterogorgia uatumani,290110
Paramuricea echinata,517760
Paramuricea biscaya,125385
Plumarella pellucida,287672
Muricea pinnata,287570
Chrysogorgia herdendorfi,177822
Paracalyptrophora duplex,286534
Chrysogorgia elegans,177823
Chrysogorgia abludo,883734
Thesea parviflora,286440
Nicella gracilis,286170
Paracalyptrophora carinata,286533
Narella ornata,286528
Acanthogorgia schrammi,177733
Rhodaniridogorgia fragilis,290985
Acanthoprimnoa pectinata,289318
Chrysogorgia averta,883736
Narella vermifera,409565
Calcigorgia beringi,520678
Pacifigorgia stenobrochis,520697
Chrysogorgia stellata,286148
Paracalyptrophora echinata,883732
Thesea citrina,286427
Muricea laxa,287567
Thesea plana,286441
Ellisella limbaughi,520726
Thouarella (Euthouarella) grasshoffi,286561
